epoch,content,speaker,environment,excitation,fidelity
133,0.01,0.03,0.07,0.02962581949505139,0.0074064548737628475
134,0.01,0.03,0.07,0.03216791979355699,0.008041979948389247
135,0.01,0.03,0.07,0.0344350288425444,0.0086087572106361
136,0.01,0.03,0.07,0.036371322893124,0.009092830723281
137,0.01,0.03,0.07,0.03792912395957899,0.009482280989894747
138,0.01,0.03,0.07,0.03907007380960792,0.00976751845240198
139,0.01,0.03,0.07,0.03976607847130762,0.009941519617826905
140,0.01,0.03,0.07,0.04,0.01
141,0.01,0.03,0.07,0.03976607847130762,0.009941519617826905
142,0.01,0.03,0.07,0.03907007380960792,0.00976751845240198
143,0.01,0.03,0.07,0.037929123959578995,0.009482280989894749
144,0.01,0.03,0.07,0.036371322893124,0.009092830723281
145,0.01,0.03,0.07,0.03443502884254441,0.008608757210636102
146,0.01,0.03,0.07,0.032167919793556994,0.008041979948389249
147,0.01,0.03,0.07,0.02962581949505139,0.0074064548737628475
148,0.01,0.03,0.07,0.026871322893124005,0.006717830723281001
149,0.01,0.03,0.07,0.02397225483576439,0.0059930637089410975
150,0.01,0.03,0.07,0.021000000000000005,0.005250000000000001
151,0.01,0.03,0.07,0.018027745164235616,0.004506936291058904
152,0.01,0.03,0.07,0.015128677106876001,0.0037821692767190003
153,0.01,0.03,0.07,0.012374180504948613,0.003093545126237153
154,0.01,0.03,0.07,0.009832080206443015,0.002458020051610754
155,0.01,0.03,0.07,0.0075649711574556,0.0018912427893639
156,0.01,0.03,0.07,0.0056286771068760014,0.0014071692767190004
157,0.01,0.03,0.07,0.004070876040421012,0.001017719010105253
158,0.01,0.03,0.07,0.0029299261903920834,0.0007324815475980209
159,0.01,0.03,0.07,0.002233921528692385,0.0005584803821730962
160,0.01,0.03,0.07,0.002,0.0005
161,0.01,0.03,0.07,0.0022339215286923827,0.0005584803821730957
162,0.01,0.03,0.07,0.0029299261903920834,0.0007324815475980209
163,0.01,0.03,0.07,0.00407087604042101,0.0010177190101052524
164,0.01,0.03,0.07,0.005628677106875999,0.0014071692767189997
165,0.01,0.03,0.07,0.007564971157455596,0.001891242789363899
166,0.01,0.03,0.07,0.00983208020644301,0.0024580200516107526
167,0.01,0.03,0.07,0.012374180504948611,0.0030935451262371527
168,0.01,0.03,0.07,0.015128677106876,0.003782169276719
169,0.01,0.03,0.07,0.018027745164235612,0.004506936291058903
170,0.01,0.03,0.07,0.020999999999999998,0.0052499999999999995
171,0.01,0.03,0.07,0.02397225483576439,0.0059930637089410975
172,0.01,0.03,0.07,0.026871322893124005,0.006717830723281001
173,0.01,0.03,0.07,0.02962581949505139,0.0074064548737628475
174,0.01,0.03,0.07,0.03216791979355699,0.008041979948389247
175,0.01,0.03,0.07,0.0344350288425444,0.0086087572106361
176,0.01,0.03,0.07,0.036371322893124,0.009092830723281
177,0.01,0.03,0.07,0.03792912395957899,0.009482280989894747
178,0.01,0.03,0.07,0.03907007380960792,0.00976751845240198
179,0.01,0.03,0.07,0.03976607847130762,0.009941519617826905
180,0.01,0.03,0.07,0.04,0.01
181,0.01,0.03,0.07,0.03976607847130762,0.009941519617826905
182,0.01,0.03,0.07,0.03907007380960792,0.00976751845240198
183,0.01,0.03,0.07,0.037929123959578995,0.009482280989894749
184,0.01,0.03,0.07,0.036371322893124,0.009092830723281
185,0.01,0.03,0.07,0.03443502884254441,0.008608757210636102
186,0.01,0.03,0.07,0.032167919793556994,0.008041979948389249
187,0.01,0.03,0.07,0.02962581949505139,0.0074064548737628475
188,0.01,0.03,0.07,0.026871322893124005,0.006717830723281001
189,0.01,0.03,0.07,0.02397225483576439,0.0059930637089410975
190,0.01,0.03,0.07,0.021000000000000005,0.005250000000000001
191,0.01,0.03,0.07,0.018027745164235616,0.004506936291058904
192,0.01,0.03,0.07,0.015128677106876001,0.0037821692767190003
193,0.01,0.03,0.07,0.012374180504948613,0.003093545126237153
194,0.01,0.03,0.07,0.009832080206443015,0.002458020051610754
195,0.01,0.03,0.07,0.0075649711574556,0.0018912427893639
196,0.01,0.03,0.07,0.0056286771068760014,0.0014071692767190004
197,0.01,0.03,0.07,0.004070876040421012,0.001017719010105253
198,0.01,0.03,0.07,0.0029299261903920834,0.0007324815475980209
199,0.01,0.03,0.07,0.002233921528692385,0.0005584803821730962
200,0.01,0.03,0.07,0.002,0.0005
201,0.01,0.03,0.07,0.0022339215286923827,0.0005584803821730957
202,0.01,0.03,0.07,0.0029299261903920834,0.0007324815475980209
203,0.01,0.03,0.07,0.00407087604042101,0.0010177190101052524
204,0.01,0.03,0.07,0.005628677106875999,0.0014071692767189997
205,0.01,0.03,0.07,0.007564971157455596,0.001891242789363899
206,0.01,0.03,0.07,0.00983208020644301,0.0024580200516107526
207,0.01,0.03,0.07,0.012374180504948611,0.0030935451262371527
208,0.01,0.03,0.07,0.015128677106876,0.003782169276719
209,0.01,0.03,0.07,0.018027745164235612,0.004506936291058903
210,0.01,0.03,0.07,0.020999999999999998,0.0052499999999999995
211,0.01,0.03,0.07,0.02397225483576439,0.0059930637089410975
212,0.01,0.03,0.07,0.026871322893124005,0.006717830723281001
213,0.01,0.03,0.07,0.02962581949505139,0.0074064548737628475
214,0.01,0.03,0.07,0.03216791979355699,0.008041979948389247
215,0.01,0.03,0.07,0.0344350288425444,0.0086087572106361
216,0.01,0.03,0.07,0.036371322893124,0.009092830723281
217,0.01,0.03,0.07,0.03792912395957899,0.009482280989894747
218,0.01,0.03,0.07,0.03907007380960792,0.00976751845240198
219,0.01,0.03,0.07,0.03976607847130762,0.009941519617826905
220,0.01,0.03,0.07,0.04,0.01
221,0.01,0.03,0.07,0.03976607847130762,0.009941519617826905
222,0.01,0.03,0.07,0.03907007380960792,0.00976751845240198
223,0.01,0.03,0.07,0.037929123959578995,0.009482280989894749
224,0.01,0.03,0.07,0.036371322893124,0.009092830723281
225,0.01,0.03,0.07,0.03443502884254441,0.008608757210636102
226,0.01,0.03,0.07,0.032167919793556994,0.008041979948389249
227,0.01,0.03,0.07,0.02962581949505139,0.0074064548737628475
228,0.01,0.03,0.07,0.026871322893124005,0.006717830723281001
229,0.01,0.03,0.07,0.02397225483576439,0.0059930637089410975
230,0.01,0.03,0.07,0.021000000000000005,0.005250000000000001
231,0.01,0.03,0.07,0.018027745164235616,0.004506936291058904
232,0.01,0.03,0.07,0.015128677106876001,0.0037821692767190003
233,0.01,0.03,0.07,0.012374180504948613,0.003093545126237153
234,0.01,0.03,0.07,0.009832080206443015,0.002458020051610754
235,0.01,0.03,0.07,0.0075649711574556,0.0018912427893639
236,0.01,0.03,0.07,0.0056286771068760014,0.0014071692767190004
237,0.01,0.03,0.07,0.004070876040421012,0.001017719010105253
238,0.01,0.03,0.07,0.0029299261903920834,0.0007324815475980209
239,0.01,0.03,0.07,0.002233921528692385,0.0005584803821730962
240,0.01,0.03,0.07,0.002,0.0005
241,0.01,0.03,0.07,0.0022339215286923827,0.0005584803821730957
242,0.01,0.03,0.07,0.0029299261903920834,0.0007324815475980209
243,0.01,0.03,0.07,0.00407087604042101,0.0010177190101052524
244,0.01,0.03,0.07,0.005628677106875999,0.0014071692767189997
245,0.01,0.03,0.07,0.007564971157455596,0.001891242789363899
246,0.01,0.03,0.07,0.00983208020644301,0.0024580200516107526
247,0.01,0.03,0.07,0.012374180504948611,0.0030935451262371527
248,0.01,0.03,0.07,0.015128677106876,0.003782169276719
249,0.01,0.03,0.07,0.018027745164235612,0.004506936291058903
250,0.01,0.03,0.07,0.020999999999999998,0.0052499999999999995
251,0.01,0.03,0.07,0.02397225483576439,0.0059930637089410975
252,0.01,0.03,0.07,0.026871322893124005,0.006717830723281001
253,0.01,0.03,0.07,0.02962581949505139,0.0074064548737628475
254,0.01,0.03,0.07,0.03216791979355699,0.008041979948389247
255,0.01,0.03,0.07,0.0344350288425444,0.0086087572106361
256,0.01,0.03,0.07,0.036371322893124,0.009092830723281
257,0.01,0.03,0.07,0.03792912395957899,0.009482280989894747
258,0.01,0.03,0.07,0.03907007380960792,0.00976751845240198
259,0.01,0.03,0.07,0.03976607847130762,0.009941519617826905
260,0.01,0.03,0.07,0.04,0.01
261,0.01,0.03,0.07,0.03976607847130762,0.009941519617826905
262,0.01,0.03,0.07,0.03907007380960792,0.00976751845240198
263,0.01,0.03,0.07,0.037929123959578995,0.009482280989894749
264,0.01,0.03,0.07,0.036371322893124,0.009092830723281
265,0.01,0.03,0.07,0.03443502884254441,0.008608757210636102
266,0.01,0.03,0.07,0.032167919793556994,0.008041979948389249
267,0.01,0.03,0.07,0.02962581949505139,0.0074064548737628475
268,0.01,0.03,0.07,0.026871322893124005,0.006717830723281001
269,0.01,0.03,0.07,0.02397225483576439,0.0059930637089410975
270,0.01,0.03,0.07,0.021000000000000005,0.005250000000000001
271,0.01,0.03,0.07,0.018027745164235616,0.004506936291058904
272,0.01,0.03,0.07,0.015128677106876001,0.0037821692767190003
273,0.01,0.03,0.07,0.012374180504948613,0.003093545126237153
274,0.01,0.03,0.07,0.009832080206443015,0.002458020051610754
275,0.01,0.03,0.07,0.0075649711574556,0.0018912427893639
276,0.01,0.03,0.07,0.0056286771068760014,0.0014071692767190004
277,0.01,0.03,0.07,0.004070876040421012,0.001017719010105253
278,0.01,0.03,0.07,0.0029299261903920834,0.0007324815475980209
279,0.01,0.03,0.07,0.002233921528692385,0.0005584803821730962
280,0.01,0.03,0.07,0.002,0.0005
281,0.01,0.03,0.07,0.0022339215286923827,0.0005584803821730957
282,0.01,0.03,0.07,0.0029299261903920834,0.0007324815475980209
283,0.01,0.03,0.07,0.00407087604042101,0.0010177190101052524
284,0.01,0.03,0.07,0.005628677106875999,0.0014071692767189997
285,0.01,0.03,0.07,0.007564971157455596,0.001891242789363899
286,0.01,0.03,0.07,0.00983208020644301,0.0024580200516107526
287,0.01,0.03,0.07,0.012374180504948611,0.0030935451262371527
288,0.01,0.03,0.07,0.015128677106876,0.003782169276719
289,0.01,0.03,0.07,0.018027745164235612,0.004506936291058903
290,0.01,0.03,0.07,0.020999999999999998,0.0052499999999999995
291,0.01,0.03,0.07,0.02397225483576439,0.0059930637089410975
292,0.01,0.03,0.07,0.026871322893124005,0.006717830723281001
293,0.01,0.03,0.07,0.02962581949505139,0.0074064548737628475
294,0.01,0.03,0.07,0.03216791979355699,0.008041979948389247
295,0.01,0.03,0.07,0.0344350288425444,0.0086087572106361
296,0.01,0.03,0.07,0.036371322893124,0.009092830723281
297,0.01,0.03,0.07,0.03792912395957899,0.009482280989894747
298,0.01,0.03,0.07,0.03907007380960792,0.00976751845240198
299,0.01,0.03,0.07,0.03976607847130762,0.009941519617826905
300,0.01,0.03,0.07,0.04,0.01
